Sigla	Codigo	Município	2010	2012	2014	2016	2018
GO	5221577	Uirapuru	2030	2311	1886	2332	1863
GO	5221601	Uruaçu	19368	21076	20284	23284	21286
GO	5221700	Uruana	8888	9566	8562	9215	7712
GO	5221809	Urutaí	2227	2543	2250	2928	2382
GO	5221858	Valparaíso de Goiás	46766	56667	58669	61542	63350
GO	5221908	Varjão	3027	3324	2977	3289	2716
GO	5222005	Vianópolis	7522	8122	7852	8619	8274
GO	5222054	Vicentinópolis	4653	5352	4900	5555	4782
GO	5222203	Vila Boa	2490	3140	2470	3469	2625
GO	5222302	Vila Propício	3022	3662	3185	4280	3617
MA	2100055	Açailândia	55026	58735	57878	60974	56943
MA	2100105	Afonso Cunha	3995	4510	4228	5292	4809
MA	2100154	Água Doce do Maranhão	6669	8051	6998	9028	7849
MA	2100204	Alcântara	12136	13767	12366	14137	12653
MA	2100303	Aldeias Altas	11486	13827	11823	14230	12355
MA	2100402	Altamira do Maranhão	3712	4560	3738	6433	3780
MA	2100436	Alto Alegre do Maranhão	10654	11802	11133	13944	12532
MA	2100477	Alto Alegre do Pindaré	14277	15836	13670	15535	14279
MA	2100501	Alto Parnaíba	5295	6282	5384	6892	5650
MA	2100550	Amapá do Maranhão	3440	4077	3561	4364	3714
MA	2100600	Amarante do Maranhão	17435	20127	18129	20935	18890
MA	2100709	Anajatuba	13819	15438	14213	16266	13687
MA	2100808	Anapurus	8432	10159	9438	10897	10170
MA	2100832	Apicum-Açu	6828	8539	7878	10254	8961
MA	2100873	Araguanã	4837	5738	5082	6238	5466
MA	2100907	Araioses	21057	22886	21787	24861	23186
MA	2100956	Arame	14479	17018	14644	16587	15209
MA	2101004	Arari	15646	17004	15773	18427	17252
MA	2101103	Axixá	7033	8107	7338	8516	7144
MA	2101202	Bacabal	47808	49941	48772	49777	48855
MA	2101251	Bacabeira	8762	10665	10139	12015	11229
MA	2101301	Bacuri	8779	10882	9362	10797	9373
MA	2101350	Bacurituba	3402	4497	3723	4432	3732
MA	2101400	Balsas	39980	43726	43495	48031	45302
MA	2101509	Barão de Grajaú	9284	10663	10036	11690	10630
MA	2101608	Barra do Corda	39751	43020	40867	46186	43147
MA	2101707	Barreirinhas	27395	31042	29969	36110	33195
MA	2101731	Belágua	3818	4674	4289	5420	5103
MA	2101772	Bela Vista do Maranhão	5750	7205	6419	7586	6772
MA	2101806	Benedito Leite	2943	3265	2900	3509	3144
MA	2101905	Bequimão	11927	13894	12026	14500	12910
MA	2101939	Bernardo do Mearim	3512	3957	3640	4362	3834
MA	2101970	Boa Vista do Gurupi	3433	4044	3771	4503	4146
MA	2102002	Bom Jardim	18471	20427	18282	20487	18797
MA	2102036	Bom Jesus das Selvas	10731	13120	12420	15997	14123
MA	2102077	Bom Lugar	6968	8282	7390	8515	6991
MA	2102101	Brejo	17180	18992	17782	19491	17101
MA	2102150	Brejo de Areia	4739	5488	4742	5759	5203
MA	2102200	Buriti	13675	14988	14357	16285	15032
MA	2102309	Buriti Bravo	11051	12511	11182	14092	12373
MA	2102325	Buriticupu	30062	31645	29086	33436	30898
MA	2102358	Buritirana	7424	8029	7362	9372	8217
MA	2102374	Cachoeira Grande	4478	5712	4893	6292	5422
MA	2102408	Cajapió	6013	7057	6111	7892	6413
MA	2102507	Cajari	9296	11331	10249	12302	10753
MA	2102556	Campestre do Maranhão	6823	7721	6740	7760	6948
MA	2102606	Cândido Mendes	9027	11635	10197	12457	10899
MA	2102705	Cantanhede	8271	10158	8915	10539	9296
MA	2102754	Capinzal do Norte	5759	6848	6278	7253	6564
MA	2102804	Carolina	12170	13849	12282	13892	12607
MA	2102903	Carutapera	11333	12057	11742	13368	12930
MA	2103000	Caxias	75329	80917	78058	83469	80115
MA	2103109	Cedral	5779	6943	5954	7204	6005
MA	2103125	Central do Maranhão	4270	5306	4110	5600	4584
MA	2103158	Centro do Guilherme	4289	5020	5107	5577	5429
MA	2103174	Centro Novo do Maranhão	6925	8025	7362	9258	8158
MA	2103208	Chapadinha	36055	40258	38085	43793	40093
MA	2103257	Cidelândia	7016	7871	7262	8667	7947
MA	2103307	Codó	51117	54922	51201	59285	53595
MA	2103406	Coelho Neto	24350	25428	23616	26714	24106
MA	2103505	Colinas	17199	20135	18539	21390	19500
MA	2103554	Conceição do Lago-Açu	6893	8398	7460	8768	7909
MA	2103604	Coroatá	31540	33280	31454	34191	32252
MA	2103703	Cururupu	16654	18549	16291	18667	16744
MA	2103752	Davinópolis	6859	8382	7678	9712	8483
MA	2103802	Dom Pedro	12566	14930	13503	14809	13363
MA	2103901	Duque Bacelar	6075	7113	6448	7711	6896
MA	2104008	Esperantinópolis	10196	11143	10022	11182	10347
MA	2104057	Estreito	15125	17341	16063	18978	16921
MA	2104073	Feira Nova do Maranhão	4164	5212	4432	5240	4635
MA	2104081	Fernando Falcão	4868	6038	5256	6798	6255
MA	2104099	Formosa da Serra Negra	8179	10044	8992	10749	9642
MA	2104107	Fortaleza dos Nogueiras	6950	8245	7157	8313	7516
MA	2104206	Fortuna	8360	9573	8478	10064	8680
MA	2104305	Godofredo Viana	4546	5671	5138	6892	5313
MA	2104404	Gonçalves Dias	8292	9788	8699	10426	9029
MA	2104503	Governador Archer	5421	6321	5750	6667	5916
MA	2104552	Governador Edison Lobão	7878	10589	9408	12250	10731
MA	2104602	Governador Eugênio Barros	8298	9180	7987	9500	8044
MA	2104628	Governador Luiz Rocha	4284	5258	4364	5032	4244
MA	2104651	Governador Newton Bello	5263	6246	5367	6185	5428
MA	2104677	Governador Nunes Freire	10913	13359	12318	14252	12285
MA	2104701	Graça Aranha	4071	4722	4182	4742	4229
MA	2104800	Grajaú	28858	33909	32698	38416	33932
MA	2104909	Guimarães	7362	8375	7037	8015	6837
MA	2105005	Humberto de Campos	14087	17076	15058	17930	15366
MA	2105104	Icatu	14514	16639	15375	18068	15213
MA	2105153	Igarapé do Meio	6901	7816	7205	9274	8310
MA	2105203	Igarapé Grande	6205	6915	6179	7257	6353
MA	2105302	Imperatriz	125470	130094	131276	139305	137320
MA	2105351	Itaipava do Grajaú	6668	7972	6939	8447	6868
MA	2105401	Itapecuru Mirim	28370	31415	30630	36059	33474
MA	2105427	Itinga do Maranhão	13058	13801	12211	13804	12641
MA	2105450	Jatobá	4073	4837	4467	5667	4824
MA	2105476	Jenipapo dos Vieiras	8131	9181	7880	9648	8735
MA	2105500	João Lisboa	13216	14561	14888	16718	14411
MA	2105609	Joselândia	8391	9537	8575	9823	8012
MA	2105658	Junco do Maranhão	3321	3998	3598	4212	3778
MA	2105708	Lago da Pedra	23839	26179	23732	27293	24478
MA	2105807	Lago do Junco	5655	6484	5852	6947	6285
MA	2105906	Lago Verde	7819	9477	8250	9810	8491
MA	2105922	Lagoa do Mato	5352	5820	5604	6598	6060
MA	2105948	Lago dos Rodrigues	5411	6042	5752	6756	6246
MA	2105963	Lagoa Grande do Maranhão	5694	6740	6116	7296	6586
MA	2105989	Lajeado Novo	4296	5180	4488	5401	4670
MA	2106003	Lima Campos	6956	7788	6949	8007	7417
MA	2106102	Loreto	5667	7021	5949	7331	6102
MA	2106201	Luís Domingues	3791	4692	4016	5000	4151
MA	2106300	Magalhães de Almeida	8373	9538	8470	10160	8722
MA	2106326	Maracaçumé	9011	10592	9226	10948	10095
MA	2106359	Marajá do Sena	4267	5630	4676	5666	4626
MA	2106375	Maranhãozinho	4828	5365	5582	6106	5693
MA	2106409	Mata Roma	9280	11063	10221	12725	11207
MA	2106508	Matinha	12915	15465	13753	15007	13939
MA	2106607	Matões	15359	18087	16240	19118	17422
MA	2106631	Matões do Norte	4830	5401	4711	5623	4825
MA	2106672	Milagres do Maranhão	3432	4354	3854	4909	4160
MA	2106706	Mirador	10291	12170	10316	12325	11049
MA	2106755	Miranda do Norte	9623	11379	10265	13458	11644
MA	2106805	Mirinzal	7358	8812	7501	8971	7931
MA	2106904	Monção	13656	15742	14112	15714	14767
MA	2107001	Montes Altos	5694	6327	5684	6433	5348
MA	2107100	Morros	9486	11437	10085	12297	11345
MA	2107209	Nina Rodrigues	6316	7334	6370	7706	6636
MA	2107258	Nova Colinas	3102	3680	3290	3825	3381
MA	2107308	Nova Iorque	2565	3334	2675	3324	2958
MA	2107357	Nova Olinda do Maranhão	8722	10129	8973	10186	9401
MA	2107407	'Olho d''Água das Cunhãs'	9788	11207	10059	12011	10429
MA	2107456	Olinda Nova do Maranhão	6075	7431	6360	8152	6936
MA	2107506	Paço do Lumiar	36459	43768	46569	51937	54033
MA	2107605	Palmeirândia	10332	13108	11091	13160	11157
MA	2107704	Paraibano	9786	10899	9675	11557	9921
MA	2107803	Parnarama	17406	19685	17374	20864	17990
MA	2107902	Passagem Franca	9204	10102	9313	10800	9924
MA	2108009	Pastos Bons	9355	10858	9252	11083	10176
MA	2108058	Paulino Neves	8097	9485	8817	10786	9735
MA	2108108	Paulo Ramos	10969	11955	10919	12167	11239
MA	2108207	Pedreiras	22146	23040	21806	22863	21279
MA	2108256	Pedro do Rosário	10572	12792	11794	13731	12148
MA	2108306	Penalva	16030	18692	16507	19584	16769
MA	2108405	Peri Mirim	7321	9001	7668	9493	7873
MA	2108454	Peritoró	11002	12298	11285	12452	11819
MA	2108504	Pindaré-Mirim	15965	18881	17487	19995	18527
MA	2108603	Pinheiro	38107	42025	40372	43923	41787
MA	2108702	Pio XII	12962	15146	13935	15924	14190
MA	2108801	Pirapemas	8511	9660	8388	10715	9204
MA	2108900	Poção de Pedras	11482	12778	11110	12204	11008
MA	2109007	Porto Franco	11579	13612	12838	15833	13343
MA	2109056	Porto Rico do Maranhão	4207	5881	4364	5616	4306
MA	2109106	Presidente Dutra	22033	24421	23080	25039	20892
MA	2109205	Presidente Juscelino	6353	7068	6297	7611	6934
MA	2109239	Presidente Médici	3696	4225	3732	4371	3787
MA	2109270	Presidente Sarney	8156	10374	9219	11821	10179
MA	2109304	Presidente Vargas	6669	8021	6981	8614	7187
MA	2109403	Primeira Cruz	6651	8259	7198	8683	7396
MA	2109452	Raposa	11687	13592	13161	15893	15227
MA	2109502	Riachão	9937	11617	10292	12251	11321
MA	2109551	Ribamar Fiquene	4770	5468	4780	5370	4778
MA	2109601	Rosário	20408	22799	22205	24720	22976
MA	2109700	Sambaíba	3963	4368	4023	4704	4044
MA	2109759	Santa Filomena do Maranhão	3979	4652	3890	5102	4183
MA	2109809	Santa Helena	15023	18771	15452	19476	16204
MA	2109908	Santa Inês	42324	45590	43446	44425	44174
MA	2110005	Santa Luzia	32060	35787	32208	35657	33386
MA	2110039	Santa Luzia do Paruá	11636	12846	11990	13561	12307
MA	2110104	Santa Quitéria do Maranhão	13286	15681	14620	16452	14864
MA	2110203	Santa Rita	14688	17285	16685	19646	17962
MA	2110237	Santana do Maranhão	4400	5382	4908	6568	5680
MA	2110278	Santo Amaro do Maranhão	6371	7665	6822	8842	7590
MA	2110302	Santo Antônio dos Lopes	8545	9952	9110	11489	10601
MA	2110401	São Benedito do Rio Preto	9343	11102	10220	12163	11185
MA	2110500	São Bento	17979	21144	18367	22183	19476
MA	2110609	São Bernardo	13921	15384	14452	16293	15091
MA	2110658	São Domingos do Azeitão	3993	4911	4107	5087	4514
MA	2110708	São Domingos do Maranhão	19130	21651	19393	22124	19907
MA	2110807	São Félix de Balsas	2870	3315	2784	3351	2969
MA	2110856	São Francisco do Brejão	4972	5994	5264	6066	5391
MA	2110906	São Francisco do Maranhão	6388	7169	6600	7538	6714
MA	2111003	São João Batista	13096	14875	13669	16129	14076
MA	2111029	São João do Carú	6875	7901	6449	7977	6845
MA	2111052	São João do Paraíso	6230	7155	6337	7183	6241
MA	2111078	São João do Soter	7553	9133	8242	10343	9312
MA	2111102	São João dos Patos	12712	15318	13552	15639	13868
MA	2111201	São José de Ribamar	61121	75629	73125	81171	83879
MA	2111250	São José dos Basílios	4849	5830	4797	5337	4376
MA	2111300	São Luís	542902	546770	557638	566975	588535
MA	2111409	São Luís Gonzaga do Maranhão	12855	14152	12618	14118	12540
MA	2111508	São Mateus do Maranhão	19049	20363	18931	22632	19007
MA	2111532	São Pedro da Água Branca	5998	7031	5591	7332	6487
MA	2111573	São Pedro dos Crentes	2817	3327	2745	3412	3039
MA	2111607	São Raimundo das Mangabeiras	9729	11629	10453	12372	10706
MA	2111631	São Raimundo do Doca Bezerra	3455	3892	3411	4315	3847
MA	2111672	São Roberto	3219	3591	3048	3823	3430
MA	2111706	São Vicente Ferrer	10917	12143	10414	12661	10718
MA	2111722	Satubinha	3692	4278	3872	4647	4269
MA	2111748	Senador Alexandre Costa	4842	5704	5060	6371	5436
MA	2111763	Senador La Rocque	11277	12389	9815	9865	8742
MA	2111789	Serrano do Maranhão	5084	6559	5600	6970	5704
MA	2111805	Sítio Novo	9430	11540	9948	11923	11011
MA	2111904	Sucupira do Norte	6145	7242	6119	7099	6122
MA	2111953	Sucupira do Riachão	2835	3576	3002	3552	2928
MA	2112001	Tasso Fragoso	4132	5264	4745	5878	4936
MA	2112100	Timbiras	11983	13794	12287	15287	13728
MA	2112209	Timon	79774	87581	86578	92958	89171
MA	2112233	Trizidela do Vale	10662	11795	11027	12789	11838
MA	2112274	Tufilândia	3953	5254	4417	5285	4369
MA	2112308	Tuntum	19980	21923	19791	21378	19632
MA	2112407	Turiaçu	16500	20569	17539	21860	19242
MA	2112456	Turilândia	8638	10046	9080	11404	9778
MA	2112506	Tutóia	23578	27209	25460	29809	26601
MA	2112605	Urbano Santos	12952	15147	14641	17196	17176
MA	2112704	Vargem Grande	20031	22814	21019	25138	22120
MA	2112803	Viana	25573	28148	26300	28982	27835
MA	2112852	Vila Nova dos Martírios	4719	5874	4973	6575	5565
MA	2112902	Vitória do Mearim	16245	19432	17106	20318	17654
MA	2113009	Vitorino Freire	16286	18325	16730	18749	17432
MA	2114007	Zé Doca	22618	25066	22326	25130	23838
MG	3100104	Abadia dos Dourados	4700	5315	4769	5299	4616
MG	3100203	Abaeté	14464	15205	14435	14959	13832
MG	3100302	Abre Campo	8514	9575	8595	9229	8437
MG	3100401	Acaiaca	2589	2906	2593	3054	2551
MG	3100500	Açucena	5837	6532	5728	6606	5621
MG	3100609	Água Boa	7673	9271	7607	9431	7776
MG	3100708	Água Comprida	1643	2040	1665	2182	1783
MG	3100807	Aguanil	2916	3575	3151	3646	3058
MG	3100906	Águas Formosas	9950	10786	9983	11325	10477
MG	3101003	Águas Vermelhas	6302	7882	6571	8070	6597
MG	3101102	Aimorés	14393	15557	14350	16049	14309
MG	3101201	Aiuruoca	3884	4463	3858	4110	3687
MG	3101300	Alagoa	1863	2340	1921	2385	1924
MG	3101409	Albertina	1800	2346	1967	2475	2005
MG	3101508	Além Paraíba	22820	22955	21874	22323	21638
MG	3101607	Alfenas	44348	45534	45260	46583	46086
MG	3101631	Alfredo Vasconcelos	4171	4542	4460	4873	4683
MG	3101706	Almenara	20209	22381	20620	22222	20901
MG	3101805	Alpercata	4648	5573	4833	5426	4706
MG	3101904	Alpinópolis	11797	12615	12171	12910	12276
MG	3102001	Alterosa	8993	9872	9466	10325	9530
MG	3102050	Alto Caparaó	3020	3553	3321	3791	3451
MG	3102100	Alto Rio Doce	7699	8723	7679	8491	7280
MG	3102209	Alvarenga	3066	4026	3393	3946	3290
MG	3102308	Alvinópolis	10149	10884	10234	11039	10222
MG	3102407	Alvorada de Minas	2304	3198	2648	3608	2794
MG	3102506	Amparo do Serra	3549	3976	3606	4034	3502
MG	3102605	Andradas	22964	23709	23558	23724	23499
MG	3102704	Cachoeira de Pajeú	4735	5682	4873	5761	4738
MG	3102803	Andrelândia	7459	7968	7203	8012	7152
MG	3102852	Angelândia	4139	4797	4167	5138	4333
MG	3102902	Antônio Carlos	7489	8044	7762	8124	7715
MG	3103009	Antônio Dias	6628	7536	6748	7544	6701
MG	3103108	Antônio Prado de Minas	1443	1643	1450	1827	1577
MG	3103207	Araçaí	2006	2387	1978	2467	2023
MG	3103306	Aracitaba	1570	2135	1755	2210	1753
MG	3103405	Araçuaí	18475	19370	18097	19913	18268
MG	3103504	Araguari	68895	70917	69482	71186	67872
MG	3103603	Arantina	2084	2534	2144	2413	2055
MG	3103702	Araponga	4773	5654	5010	5628	4891
MG	3103751	Araporã	4766	4685	4388	5306	4650
MG	3103801	Arapuá	2237	2899	2392	3048	2431
MG	3103900	Araújos	4790	5630	5086	5695	5170
MG	3104007	Araxá	58027	59628	59952	62085	60253
MG	3104106	Arceburgo	5651	6213	5805	6408	5683
MG	3104205	Arcos	24162	25548	25261	26636	25769
MG	3104304	Areado	9153	9407	9283	9586	9211
MG	3104403	Argirita	2317	2640	2233	2646	2195
MG	3104452	Aricanduva	3022	3620	2972	3788	3225
MG	3104502	Arinos	9530	10755	9549	10769	9111
MG	3104601	Astolfo Dutra	8831	9581	8810	9485	8533
MG	3104700	Ataléia	7908	8991	7808	8825	7458
MG	3104809	Augusto de Lima	3016	3611	3010	3524	2926
MG	3104908	Baependi	12465	13273	12513	13154	12299
MG	3105004	Baldim	5210	5918	5464	5972	5331
MG	3105103	Bambuí	14421	15454	14675	15600	14257
MG	3105202	Bandeira	2800	3639	3040	3835	2956
MG	3105301	Bandeira do Sul	3954	4492	4174	4696	4253
MG	3105400	Barão de Cocais	17488	18655	18681	19547	18803
MG	3105509	Barão de Monte Alto	4066	4662	4203	5001	4368
MG	3105608	Barbacena	78294	79020	79667	79744	79630
MG	3105707	Barra Longa	4269	4692	4248	4771	4008
MG	3105905	Barroso	13456	14288	13753	14678	13715
MG	3106002	Bela Vista de Minas	6071	6328	6152	6696	6428
MG	3106101	Belmiro Braga	2367	2699	2461	2801	2404
MG	3106200	Belo Horizonte	1539672	1508930	1564078	1509919	1558230
MG	3106309	Belo Oriente	13650	15541	14292	16369	14175
MG	3106408	Belo Vale	5904	6921	6235	6735	6249
MG	3106507	Berilo	5980	7009	5783	6573	5705
MG	3106606	Bertópolis	2563	3119	2541	3436	2841
MG	3106655	Berizal	2729	3149	2805	3364	2898
MG	3106705	Betim	208852	224217	227278	236007	232507
MG	3106804	Bias Fortes	2961	3303	2830	3395	2832
MG	3106903	Bicas	9013	9471	8919	9496	8715
MG	3107000	Biquinhas	2051	2659	2183	2780	2073
MG	3107109	Boa Esperança	23611	24701	24245	25178	23759
MG	3107208	Bocaina de Minas	3491	4181	3551	4024	3413
MG	3107307	Bocaiúva	25617	27335	26304	28165	26489
MG	3107406	Bom Despacho	29084	30254	29712	31065	29894
MG	3107505	Bom Jardim de Minas	4318	5025	4359	5220	4502
MG	3107604	Bom Jesus da Penha	2542	2878	2760	2884	2744
MG	3107703	Bom Jesus do Amparo	3793	4115	3778	4422	3926
MG	3107802	Bom Jesus do Galho	8901	10453	9302	10570	9291
MG	3107901	Bom Repouso	6688	7611	7212	7748	7052
MG	3108008	Bom Sucesso	11589	12263	11770	12411	11742
MG	3108107	Bonfim	5214	5580	5224	5823	5333
MG	3108206	Bonfinópolis de Minas	3645	4294	3557	4148	3441
MG	3108255	Bonito de Minas	4314	5767	4822	6359	5288
MG	3108305	Borda da Mata	10371	11014	10543	11032	10469
MG	3108404	Botelhos	9994	10316	9914	10366	9685
MG	3108503	Botumirim	3453	4187	3573	4309	3589
MG	3108552	Brasilândia de Minas	7301	8718	8078	9821	8366
MG	3108602	Brasília de Minas	18183	19663	18448	20219	18754
MG	3108701	Brás Pires	2870	3837	3090	4058	3037
MG	3108800	Braúnas	3017	3491	2950	3756	3118
MG	3108909	Brasópolis	9888	10297	10079	10421	9708
MG	3109006	Brumadinho	19535	21958	21633	23767	22608
MG	3109105	Bueno Brandão	6923	7209	6996	7282	6840
MG	3109204	Buenópolis	5283	6253	5264	6297	5221
MG	3109253	Bugre	2951	4134	3427	3753	3125
MG	3109303	Buritis	12377	14222	13063	15179	13431
MG	3109402	Buritizeiro	14405	15897	14116	15212	13673
MG	3109451	Cabeceira Grande	3906	4794	3899	4762	3965
MG	3109501	Cabo Verde	7922	8265	7854	8164	7558
MG	3109600	Cachoeira da Prata	2798	3117	2829	3198	2766
MG	3109709	Cachoeira de Minas	7309	7581	7526	7888	7614
MG	3109808	Cachoeira Dourada	1913	1981	1611	2073	1656
MG	3109907	Caetanópolis	6087	6588	6516	6854	6587
MG	3110004	Caeté	26219	27178	27038	27682	26781
MG	3110103	Caiana	2960	3357	3103	3626	3050
MG	3110202	Cajuri	3035	3541	3188	3599	3469
MG	3110301	Caldas	8691	9302	8759	9550	8675
MG	3110400	Camacho	2577	2956	2633	3282	2572
MG	3110509	Camanducaia	12813	13387	13165	13977	13056
MG	3110608	Cambuí	16211	16730	16579	16800	16418
MG	3110707	Cambuquira	7903	8283	8010	8287	7848
MG	3110806	Campanário	2363	2810	2376	2932	2324
MG	3110905	Campanha	9452	9646	9411	9879	9302
MG	3111002	Campestre	13081	13655	13280	13804	13255
MG	3111101	Campina Verde	11998	13576	11824	13407	11111
MG	3111150	Campo Azul	2447	3298	2581	3488	2643
MG	3111200	Campo Belo	31412	32077	31513	32048	30327
MG	3111309	Campo do Meio	7411	8447	7549	8724	7686
MG	3111408	Campo Florido	3400	4859	4388	5202	4524
MG	3111507	Campos Altos	7791	8282	7667	8235	7376
MG	3111606	Campos Gerais	15782	16945	15881	16633	15368
MG	3111705	Canaã	3325	3628	3348	3811	3401
MG	3111804	Canápolis	7322	8441	7097	7844	6412
MG	3111903	Cana Verde	3822	4221	3933	4175	3858
MG	3112000	Candeias	9635	10232	9540	9999	9165
MG	3112059	Cantagalo	2437	3586	2745	3400	2593
MG	3112109	Caparaó	3255	3749	3401	3849	3366
MG	3112208	Capela Nova	3308	3770	3427	4011	3528
MG	3112307	Capelinha	16880	19141	18590	21035	19697
MG	3112406	Capetinga	4545	5074	4437	4878	4121
MG	3112505	Capim Branco	5827	6444	6176	6831	6526
MG	3112604	Capinópolis	9332	10104	9150	9778	8753
MG	3112653	Capitão Andrade	3006	3512	3013	3540	2964
MG	3112703	Capitão Enéas	8641	9636	8782	10084	9185
MG	3112802	Capitólio	5420	6306	5714	6258	5600
MG	3112901	Caputira	5785	6721	5977	7015	6115
MG	3113008	Caraí	9288	10562	9547	10879	9360
MG	3113107	Caranaíba	2540	2819	2557	2909	2542
MG	3113206	Carandaí	15914	17094	16476	17607	16702
MG	3113305	Carangola	19306	20082	18898	19600	18103
MG	3113404	Caratinga	46696	49268	46238	47833	45225
MG	3113503	Carbonita	5316	6250	5443	6220	5473
MG	3113602	Careaçu	3858	4350	3973	4342	3866
MG	3113701	Carlos Chagas	11327	12388	11148	12379	10885
MG	3113800	Carmésia	1600	1926	1568	1904	1558
MG	3113909	Carmo da Cachoeira	7432	8040	7658	8160	7314
MG	3114006	Carmo da Mata	7607	8213	7820	8607	7950
MG	3114105	Carmo de Minas	7654	8164	7917	8284	7811
MG	3114204	Carmo do Cajuru	13326	14141	14264	15014	14869
MG	3114303	Carmo do Paranaíba	16585	17867	16680	17463	16347
MG	3114402	Carmo do Rio Claro	12160	12933	12355	12847	12120
MG	3114501	Carmópolis de Minas	10173	10980	10587	11418	10810
MG	3114550	Carneirinho	6215	6863	6377	7069	6062
MG	3114600	Carrancas	2569	2850	2617	2727	2620
MG	3114709	Carvalhópolis	2366	2891	2568	2818	2538
MG	3114808	Carvalhos	3177	3546	3099	3557	3086
MG	3114907	Casa Grande	1872	2211	1914	2390	2030
MG	3115003	Cascalho Rico	2222	2631	2264	2953	2482
MG	3115102	Cássia	10942	11595	11089	11452	10275
MG	3115201	Conceição da Barra de Minas	2854	3236	2977	3308	2962
MG	3115300	Cataguases	43430	44150	42832	43447	41559
MG	3115359	Catas Altas	3355	3827	3699	4067	3718
MG	3115409	Catas Altas da Noruega	2608	3188	2872	3377	2965
MG	3115458	Catuji	4993	6133	5350	6493	5525
MG	3115474	Catuti	3144	3667	2932	3637	3116
MG	3115508	Caxambu	13859	14039	13462	13972	13200
MG	3115607	Cedro do Abaeté	978	1411	1005	1246	905
MG	3115706	Central de Minas	4496	5204	4558	5215	4307
MG	3115805	Centralina	5566	6319	5585	6555	5506
MG	3115904	Chácara	2096	2523	2284	2475	2259
MG	3116001	Chalé	3541	4166	3716	4589	3846
MG	3116100	Chapada do Norte	6038	7077	5860	7150	5643
MG	3116159	Chapada Gaúcha	4954	6179	5683	7062	5864
MG	3116209	Chiador	2370	2915	2454	2539	2272
MG	3116308	Cipotânea	3715	4728	3695	4974	3640
MG	3116407	Claraval	3474	4183	3781	4240	3641
MG	3116506	Claro dos Poções	5423	6801	5733	6462	5527
MG	3116605	Cláudio	16048	16806	16805	17508	16856
MG	3116704	Coimbra	5122	5381	5057	5559	5141
MG	3116803	Coluna	4716	5514	4627	5677	4697
MG	3116902	Comendador Gomes	1975	2348	1991	2235	1927
MG	3117009	Comercinho	4734	5098	4597	4946	4451
MG	3117108	Conceição da Aparecida	6162	6699	6300	6868	6249
MG	3117207	Conceição das Pedras	2038	2430	2137	2445	2091
MG	3117306	Conceição das Alagoas	12916	15229	14239	16477	14500
MG	3117405	Conceição de Ipanema	2995	3395	3033	3520	2965
MG	3117504	Conceição do Mato Dentro	9864	11304	10397	12687	11380
MG	3117603	Conceição do Pará	3695	4206	3880	4502	3951
MG	3117702	Conceição do Rio Verde	7651	8201	7758	8447	7950
MG	3117801	Conceição dos Ouros	6704	7576	7051	7578	7030
MG	3117836	Cônego Marinho	3855	4654	4102	4759	4232
MG	3117876	Confins	4290	5020	4737	5517	5132
MG	3117900	Congonhal	6198	7023	6589	7941	7127
MG	3118007	Congonhas	31964	33678	33530	35568	34476
MG	3118106	Congonhas do Norte	2603	3326	2789	3412	2818
MG	3118205	Conquista	4139	4637	4322	4740	4238
MG	3118304	Conselheiro Lafaiete	74905	75968	77520	77943	77690
MG	3118403	Conselheiro Pena	12502	13155	12258	13404	12311
MG	3118502	Consolação	1330	1577	1365	1726	1387
MG	3118601	Contagem	360486	364053	271844	371779	356068
MG	3118700	Coqueiral	5777	6431	6033	6568	5933
MG	3118809	Coração de Jesus	15310	16834	15493	17167	15005
MG	3118908	Cordisburgo	5242	5856	5372	5945	5420
MG	3119005	Cordislândia	2347	2840	2388	2545	2169
MG	3119104	Corinto	14243	15579	14304	15399	13750
MG	3119203	Coroaci	6517	8120	6664	7773	6439
MG	3119302	Coromandel	17725	18999	17962	19709	18032
MG	3119401	Coronel Fabriciano	62127	63318	63069	64139	61345
MG	3119500	Coronel Murta	5100	5836	5122	5991	5045
MG	3119609	Coronel Pacheco	2062	2404	2239	2457	2214
MG	3119708	Coronel Xavier Chaves	2271	2389	2292	2505	2336
MG	3119807	Córrego Danta	2312	2841	2333	2695	2173
MG	3119906	Córrego do Bom Jesus	2782	3299	2966	3686	3059
MG	3119955	Córrego Fundo	4077	4570	4250	4715	4233
MG	3120003	Córrego Novo	2440	3503	2647	3010	2421
MG	3120102	Couto de Magalhães de Minas	2620	3185	2594	3243	2624
MG	3120151	Crisólita	3179	3827	3198	4224	3258
MG	3120201	Cristais	6595	7225	6611	7167	6358
MG	3120300	Cristália	3146	4182	3596	4443	3432
MG	3120409	Cristiano Otoni	3540	3837	3638	3855	3640
MG	3120508	Cristina	6210	6649	6371	6787	6327
MG	3120607	Crucilândia	3683	4227	3816	4492	3994
MG	3120706	Cruzeiro da Fortaleza	2838	3568	2926	3721	3084
MG	3120805	Cruzília	9441	9963	9618	10448	9651
MG	3120839	Cuparaque	2981	3416	3134	3722	3072
MG	3120870	Curral de Dentro	4160	4827	4190	4958	4256
MG	3120904	Curvelo	44270	44874	44312	45896	44691
MG	3121001	Datas	3220	3817	3373	4015	3416
MG	3121100	Delfim Moreira	5247	5512	5415	5696	5394
MG	3121209	Delfinópolis	4427	5517	4581	5446	4345
MG	3121258	Delta	3561	4596	4226	5562	4608
MG	3121308	Descoberto	3591	3930	3687	4070	3621
